0.0,-0.0183,-0.3861,-0.4577,-0.4739,0
0.0,-0.055,-0.064,-0.195,-0.256,1
0.0,-0.6584,-0.6584,-0.6584,-0.6584,0
0.111,0.0872,0.038,0.0304,0.0,0
0.0016,0.0012,0.0,0.0,-0.001,1
0.0042,0.0,-0.0113,-0.0116,-0.016,0
0.0,-0.2519,-0.2632,-0.2899,-1.04,1
0.0036,0.0,-0.013,-0.015,-0.064,1
0.004,0.0,-0.0017,-0.0023,-0.0028,0
0.0,-0.013,-0.018,-0.019,-0.09,1
0.0,-0.001,-0.118,-0.142,-0.158,1
0.0237,0.0,-0.0696,-0.0928,-0.1107,1
0.0912,0.0,-0.003,-0.057,-0.0644,0
0.0,-0.04,-0.056,-0.075,-0.106,1
0.0252,0.0,-0.0259,-0.0493,-0.1078,0
0.0,-0.0647,-0.1874,-0.2222,-0.2352,0
0.0791,0.0014,0.0,-0.0183,-0.0231,0
0.0,-0.0573,-0.5027,-0.7879,-0.7879,0
0.0,-0.0,-0.007,-0.009,-0.018,1
0.0,-0.097,-0.168,-0.183,-0.228,1
0.0787,0.0,-0.064,-0.1074,-0.1429,0
0.0,-0.158,-0.285,-0.317,-0.352,1
0.0106,0.0,-0.021,-0.038,-0.127,1
0.0,-0.052,-0.175,-0.177,-0.23,1
0.1287,0.0476,0.0,-0.725,-0.725,0
0.0,-0.3836,-0.5166,-1.376,-1.376,0
0.0,-0.9394,-0.9394,-0.9394,-0.9394,0
0.0,-0.019,-0.129,-0.209,-0.215,1
0.0041,0.0033,0.0,-0.0014,-0.0023,1
0.0,-0.0,-0.0,-0.0,-0.0,1
0.0931,0.0615,0.0081,0.0,-0.0253,0
0.0865,0.0,-0.07,-0.118,-0.302,1
0.0124,0.0,-0.0086,-0.1707,-0.1895,1
0.0,-0.2688,-0.2775,-0.331,-0.6128,0
0.0158,0.0,-0.033,-0.039,-0.08,1
0.0,-0.2035,-0.2253,-0.2654,-0.2786,0
0.0319,0.0,-0.0102,-0.0323,-0.0399,0
0.1569,0.0,-0.2533,-0.272,-0.9147,0
0.0,-0.031,-0.066,-0.069,-0.094,1
0.2136,0.0,-0.2221,-0.9307,-0.9307,0
0.0,-0.076,-0.101,-0.118,-0.142,1
0.0171,0.0,-0.0173,-0.0209,-0.036,1
0.0012,0.0,0.0,-0.0,-0.001,1
0.0,-0.1937,-0.2667,-0.293,-0.3304,0
0.0,-0.0025,-0.0185,-0.0508,-0.0913,1
0.0598,0.0,-0.1504,-0.2246,-0.2385,0
0.0,-0.0009,-0.0763,-0.097,-0.1256,1
0.1265,0.0388,0.0244,0.0,-0.0194,0
0.0,-0.3222,-0.9012,-0.9012,-0.9012,0
0.0,-0.052,-0.9202,-0.9202,-0.9202,0
0.002,0.0,-0.069,-0.087,-0.111,1
0.3176,0.0343,0.0,-0.1973,-0.2778,0
0.001,0.0,-0.001,-0.001,-0.001,1
0.3314,0.0107,0.0,-0.0194,-0.0389,0
0.0,-0.2204,-0.2663,-0.3566,-0.5587,0
0.0,-1.002,-1.113,-1.113,-1.113,0
0.0295,0.0,-0.018,-0.075,-0.083,1
0.0,-0.017,-0.074,-0.075,-0.144,1
0.0,-0.1402,-0.1408,-0.1628,-0.5438,1
0.0863,0.0,-0.024,-0.096,-0.122,1
0.0383,0.0,-0.027,-0.116,-0.219,1
0.0,-0.002,-0.003,-0.003,-0.003,1
0.0,-0.0287,-0.0869,-0.222,-0.964,1
0.0,-0.0001,-0.0001,-0.0003,-0.0003,1
0.0,-0.0569,-0.062,-0.1118,-0.1303,1
0.0785,0.0,-0.0037,-0.019,-0.031,0
0.0,-0.0164,-0.082,-1.869,-1.869,0
0.0,-0.0,-0.016,-0.016,-0.02,1
0.0455,0.0272,0.0,-0.0461,-0.0487,0
0.0,-0.029,-0.25,-0.347,-0.548,1
0.0,-0.0989,-0.1102,-0.1354,-0.2793,0
0.0042,0.0,-0.0283,-0.0451,-0.0487,0
