0.0,-0.0687,-0.0807,-0.1087,-0.1228
0.0351,0.0099,0.0,-0.004,-0.012
0.0,-0.009,-0.034,-0.04,-0.043
0.0386,0.0101,0.0,-0.017,-0.019
0.0361,0.0266,0.0119,0.0118,0.0
0.0301,0.0179,0.0,-0.005,-0.033
0.0624,0.0022,0.0,-0.018,-0.018
0.0,-0.108,-0.109,-0.11,-0.111
0.0,-0.003,-0.015,-0.017,-0.022
0.0534,0.0337,0.0,-0.001,-0.007
0.0422,0.0248,0.0143,0.0,-0.014
0.0,-0.157,-0.158,-1.039,-1.039
0.0675,0.0645,0.03,0.0132,0.0
0.0875,0.0,-0.073,-0.076,-0.113
0.0,-0.039,-0.04,-0.054,-0.092
0.0,-0.019,-0.08,-0.149,-0.193
0.0,0.0,0.0,0.0,0.0
0.0,-0.212,-0.237,-0.286,-1.177
0.0,-0.082,-0.095,-0.241,-0.247
0.0,-0.12,-0.158,-0.159,-0.159
0.0,-0.066,-0.081,-0.089,-0.102
0.0,-0.056,-0.155,-0.156,-0.21
0.0301,0.0,-0.566,-0.773,-0.773
0.0,-0.152,-0.172,-0.182,-0.248
0.0,-0.012,-0.045,-0.056,-0.1
0.0,-0.122,-0.135,-0.157,-0.164
0.0,-0.212,-0.217,-0.223,-0.224
0.0721,0.042,0.0312,0.0,-0.075
0.0406,0.024,0.0,-0.046,-0.058
0.0723,0.0327,0.0,-0.021,-0.027
0.0,-0.085,-0.095,-0.102,-0.148
0.041,0.0,-0.037,-0.204,-0.304
0.0,-0.19,-0.205,-0.306,-0.369
0.0,-0.101,-0.106,-0.126,-0.149
0.0,-0.1,-0.233,-0.267,-0.311
0.0,-0.091,-0.211,-0.346,-0.35
0.0,-0.026,-0.058,-0.073,-0.135
0.0032,0.002,0.0,-0.015,-0.029
0.0,-0.081,-0.082,-0.143,-0.147
0.0,-0.036,-0.11,-0.12,-0.124
0.0191,0.0,-0.02,-0.059,-0.092
0.0372,0.0324,0.0106,0.0104,0.0
0.0,-0.177,-0.19,-0.192,-0.219
0.0,-0.004,-0.141,-1.025,-1.025
0.0559,0.0,-0.04,-0.05,-0.118
0.0667,0.0307,0.0123,0.0,-0.024
0.0112,0.0049,0.0,-0.046,-0.049
0.0,-0.372,-0.426,-0.505,-0.608
0.0637,0.0,-0.138,-0.226,-0.3
0.0,-0.181,-0.215,-0.746,-0.746
0.0126,0.0,-0.105,-0.501,-0.524
0.0956,0.0602,0.0248,0.0,-0.021
0.0738,0.0,-0.389,-1.074,-1.074
0.0,-0.01,-0.076,-0.133,-0.136
0.0,-0.058,-0.125,-0.229,-0.255
0.0376,0.0,-0.125,-0.22,-0.268
0.0,-0.021,-0.085,-0.159,-0.179
0.0609,0.0,-0.012,-0.03,-0.208
0.0,-0.201,-0.208,-0.245,-0.275
0.0,-0.168,-0.203,-0.293,-0.607
0.0931,0.0,-0.161,-0.231,-0.245
0.0,-0.012,-0.11,-0.462,-0.462
0.0,-0.033,-0.08,-0.091,-0.189
0.0,-0.432,-0.434,-0.629,-0.629
0.0,-0.011,-0.023,-0.027,-0.052
0.0718,0.0,-0.006,-0.037,-0.098
